isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol,Fund size,Volatility,1 year,3 year,5 year
FR0013209921,Amundi MSCI World Ex EMU SRI Climate Paris Aligned UCITS ETF Acc,WLDX,4.0,equity,USD,France,False,Accumulating,0.35,231.0,MSCI World ex EMU SRI Filtered PAB,WLDX.MI,EUR 4 m,12.60%,+21.43%,+39.74%,+46.20%
FR0014003FW1,Amundi MSCI World Climate Paris Aligned Umweltzeichen UCITS ETF ,PABV,367.0,equity,USD,France,False,Accumulating,0.25,826.0,MSCI World Climate Change Paris Aligned Low Carbon Select,,EUR 346 m,13.59%,+32.33%,+73.84%,-
FR001400YYJ0,Finanzen.net MSCI World UCITS ETF Acc,FINZ,13.0,equity,USD,France,False,Accumulating,0.12,1321.0,MSCI World,,EUR 13 m,-,-,-,-
IE00000EF730,iShares Europe Equity Enhanced Active UCITS ETF EUR (Acc),EUEE,554.0,equity,EUR,Ireland,False,Accumulating,0.25,235.0,iShares Europe Equity Enhanced Active,,EUR 547 m,11.65%,+28.06%,-,-
IE00002ZKAP0,Xtrackers Europe Equity Enhanced Active UCITS ETF 1C,XEEE,62.0,equity,EUR,Ireland,False,Accumulating,0.25,201.0,Xtrackers Europe Equity Enhanced Active,,EUR 70 m,-,-,-,-
IE00004PGEY9,JPMorgan Eurozone Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),JREZ,555.0,equity,EUR,Ireland,False,Accumulating,0.25,110.0,JP Morgan Eurozone Research Enhanced Index Equity (ESG),,EUR 510 m,13.82%,+28.44%,+51.90%,-
IE0000902GT6,WisdomTree Megatrends UCITS ETF USD,WMGT,30.0,equity,USD,Ireland,False,Accumulating,0.5,724.0,WisdomTree Global Megatrends Equity,,EUR 37 m,17.88%,+61.21%,-,-
IE0000CRTTJ9,Amundi MSCI World ESG Broad Transition UCITS ETF EUR Hedged (Acc),LWCH,3.0,equity,EUR,Ireland,True,Accumulating,0.25,1143.0,MSCI World ESG Broad CTB Select (EUR Hedged),,EUR 3 m,-,-,-,-
IE0000EAPBT6,JPMorgan US Equity Premium Income Active UCITS ETF USD (acc),JEIA,25.0,equity,USD,Ireland,False,Accumulating,0.35,230.0,JPMorgan US Equity Premium Income Active,,EUR 35 m,9.72%,+13.18%,-,-
IE0000GXRR13,Ossiam Shiller Barclays CAPE® US Sector Screened UCITS ETF 1A/A (EUR),EUPD,89.0,equity,EUR,Ireland,False,Accumulating,0.75,166.0,Ossiam Shiller Barclays CAPE® US Sector Screened,,EUR 43 m,11.85%,+10.38%,-,-
IE0000H445G8,VanEck New China UCITS ETF A,CNIE,7.0,equity,USD,Ireland,False,Accumulating,0.6,100.0,MarketGrader New China ESG,,EUR 6 m,15.40%,+20.38%,-5.28%,-
IE0000LVTJ08,BNP Paribas Easy ESG Enhanced US UCITS ETF EUR Acc,LM9D,249.0,equity,EUR,Ireland,False,Accumulating,0.2,255.0,BNP Paribas Easy ESG Enhanced US,,EUR 366 m,13.48%,+31.26%,-,-
IE0000MMQ5M5,Xtrackers MSCI USA ESG UCITS ETF 2C - EUR Hedged,XZME,145.0,equity,EUR,Ireland,True,Accumulating,0.2,249.0,MSCI USA Low Carbon SRI Selection (EUR Hedged),,EUR 259 m,14.03%,+31.58%,+67.46%,-
IE0000P0RPE6,iShares World Equity High Income UCITS ETF USD (Acc),WINA,14.0,equity,USD,Ireland,False,Accumulating,0.35,317.0,iShares World Equity High Income,,EUR 15 m,9.70%,+25.54%,-,-
IE0000U24AJ9,Amundi MSCI USA SRI Climate Paris Aligned UCITS ETF Acc EUR Hedged,USRIH,190.0,equity,EUR,Ireland,True,Accumulating,0.2,90.0,MSCI USA SRI Filtered PAB (EUR Hedged),USRIH.MI,EUR 139 m,13.91%,+14.27%,+25.58%,+20.96%
IE0000UW95D6,JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF EUR Hedged (acc),JRGE,831.0,equity,EUR,Ireland,True,Accumulating,0.25,667.0,JP Morgan Global Research Enhanced Index Equity (ESG) (EUR Hedged),,EUR 810 m,11.28%,+32.21%,+64.10%,-
IE0000VX9GN7,BNP Paribas Easy S&P 500 Scored and Screened UCITS ETF Acc,IN0A,125.0,equity,USD,Ireland,False,Accumulating,0.13,314.0,S&P 500 Scored & Screened,,EUR 143 m,12.84%,+32.61%,-,-
IE0000XTDDA8,Global X Artificial Intelligence UCITS ETF USD Accumulating,QAIU,38.0,equity,USD,Ireland,False,Accumulating,0.4,84.0,Indxx Artificial Intelligence,,EUR 42 m,18.80%,+54.10%,-,-
IE0000ZVYDH0,Amundi MSCI ACWI SRI Climate Paris Aligned UCITS ETF DR - USD,WELA,102.0,equity,USD,Ireland,False,Accumulating,0.2,399.0,MSCI ACWI SRI Filtered PAB,,EUR 103 m,11.55%,+30.73%,+44.29%,-
IE000130VPV5,BNP Paribas Easy ESG Enhanced US UCITS ETF USD Acc,LM9A,30.0,equity,USD,Ireland,False,Accumulating,0.2,255.0,BNP Paribas Easy ESG Enhanced US,,EUR 45 m,13.40%,+31.33%,-,-
IE00016PSX47,Amundi MSCI World ESG Selection UCITS ETF Acc,MWOP,1789.0,equity,USD,Ireland,False,Accumulating,0.18,674.0,MSCI World ESG Selection P-Series 5% Issuer Capped,,"EUR 1,787 m",11.98%,+28.78%,+55.48%,+66.64%
IE00018LB0D8,Invesco S&P World Financials ESG UCITS ETF Acc,WF1E,4.0,equity,USD,Ireland,False,Accumulating,0.18,145.0,S&P Developed Ex-Korea LargeMidCap ESG Enhanced Financials,,EUR 4 m,11.72%,+22.40%,+73.08%,-
IE0001A541Y3,JPMorgan Japan Research Enhanced Index Equity (ESG) UCITS ETF JPY (acc),JJEJ,151.0,equity,JPY,Ireland,False,Accumulating,0.25,123.0,JP Morgan Japan Research Enhanced Index Equity (ESG),,EUR 185 m,19.16%,+31.84%,+54.92%,-
IE0001DKJVC2,Amundi MSCI World Minimum Volatility Advanced UCITS ETF Acc,WMMV,187.0,equity,USD,Ireland,False,Accumulating,0.25,262.0,MSCI World Minimum Volatility Advanced Target,,EUR 421 m,8.49%,+3.05%,-,-
IE0001FQFU60,Amundi MSCI World Momentum Advanced UCITS ETF Acc,WMSE,241.0,equity,USD,Ireland,False,Accumulating,0.25,180.0,MSCI World Momentum Advanced Target,,EUR 571 m,14.49%,+45.20%,-,-
IE0001GSQ2O9,Amundi MSCI World ESG Broad Transition UCITS ETF Acc,LWCR,1093.0,equity,EUR,Ireland,False,Accumulating,0.2,1143.0,MSCI World ESG Broad CTB Select,,EUR 947 m,11.58%,+28.69%,-,-
IE0001JABD69,JPMorgan All Country Research Enhanced Index Equity Active UCITS ETF EUR Hedged (acc),JRWE,10.0,equity,EUR,Ireland,True,Accumulating,0.25,1032.0,JP Morgan All Country Research Enhanced Index Equity Active (EUR Hedged),,EUR 18 m,10.90%,+34.36%,-,-
IE0001JH5CB4,Xtrackers Europe Net Zero Pathway Paris Aligned UCITS ETF 1C,XEPA,6.0,equity,EUR,Ireland,False,Accumulating,0.15,306.0,Solactive ISS ESG Developed Markets Europe Net Zero Pathway,,EUR 6 m,12.34%,+19.18%,+30.87%,-
IE0001O9L5K4,ODDO BHF Global Equity Active UCITS ETF (Acc),OBGE,4.0,equity,EUR,Ireland,False,Accumulating,0.35,3917.0,ODDO BHF Global Equity Active,,EUR 5 m,-,-,-,-
IE0001R850E1,First Trust SMID Rising Dividend Achievers UCITS ETF Class A Accumulation,FTGD,223.0,equity,USD,Ireland,False,Accumulating,0.6,181.0,Nasdaq US Small Mid Cap Rising Dividend Achievers,FTGD.BE,EUR 299 m,16.69%,+30.32%,-,-
IE0001TLQX55,Xtrackers S&P 500 GARP UCITS ETF 1C,XUGA,8.0,equity,USD,Ireland,False,Accumulating,0.25,100.0,S&P 500 GARP 100,,EUR 4 m,-,-,-,-
IE0001UQQ933,L&G Gerd Kommer Multifactor Equity UCITS ETF USD Accumulating,GERD,869.0,equity,USD,Ireland,False,Accumulating,0.45,4162.0,Solactive Gerd Kommer Multifactor Equity,,"EUR 1,054 m",9.71%,+30.85%,-,-
IE0001YGXFO5,iShares MSCI World Climate Transition Aware UCITS ETF USD (Acc),WCTA,6.0,equity,USD,Ireland,False,Accumulating,0.2,767.0,MSCI World Transition Aware Select,,EUR 6 m,11.48%,+24.94%,-,-
IE00023EZQ82,iShares Digital Entertainment and Education UCITS ETF USD (Acc),CBUN,62.0,equity,USD,Ireland,False,Accumulating,0.4,86.0,STOXX® Global Digital Entertainment and Education,,EUR 50 m,16.36%,+28.74%,+96.88%,-
IE0002EI5AG0,Xtrackers S&P 500 Equal Weight UCITS ETF 2C EUR Hedged,XDEE,1162.0,equity,EUR,Ireland,True,Accumulating,0.3,503.0,S&P 500® Equal Weight (EUR Hedged),,"EUR 1,468 m",12.89%,+23.21%,+36.49%,-
IE0002EKOXU6,iShares Russell 1000 Value UCITS ETF USD (Acc),R1VL,337.0,equity,USD,Ireland,False,Accumulating,0.18,847.0,Russell 1000 Value UCITS 30/18 Capped,,EUR 412 m,11.89%,+25.63%,-,-
IE0002PGSLZ5,Xtrackers US Equity Enhanced Active UCITS ETF 1C,XEEU,158.0,equity,USD,Ireland,False,Accumulating,0.2,184.0,Xtrackers US Equity Enhanced Active,,EUR 238 m,-,-,-,-
IE0002SCQ8X0,iShares MSCI Japan ESG Enhanced CTB UCITS ETF EUR Hedged (Acc),CEB3,66.0,equity,EUR,Ireland,True,Accumulating,0.18,174.0,MSCI Japan ESG Enhanced Focus CTB (EUR Hedged),,EUR 73 m,20.21%,+56.27%,-,-
IE0002THYAT9,UBS MSCI World ex Mega Cap UCITS ETF USD acc,WXMC,31.0,equity,USD,Ireland,False,Accumulating,0.12,1271.0,MSCI World Ex Mega Cap Specified,,EUR 35 m,-,-,-,-
IE0002XFS025,Fidelity Global Quality Value UCITS ETF ACC-USD,FGLV,4.0,equity,USD,Ireland,False,Accumulating,0.3,296.0,Fidelity Global Quality Value,,EUR 4 m,11.46%,+32.17%,-,-
IE0002ZM3JI1,Xtrackers USA Net Zero Pathway Paris Aligned UCITS ETF 1C,XNUS,11.0,equity,USD,Ireland,False,Accumulating,0.1,334.0,Solactive ISS ESG United States Net Zero Pathway,,EUR 10 m,13.64%,+29.49%,+58.89%,-
IE00036F4K40,Xtrackers MSCI Global SDG 3 Good Health UCITS ETF 1C,XDG3,23.0,equity,USD,Ireland,False,Accumulating,0.35,115.0,MSCI ACWI IMI SDG 3 Good Health and Well-being Select,,EUR 22 m,14.18%,+8.41%,+7.31%,-
IE0003B4BV34,UBS MSCI USA Tech 125 Universal UCITS ETF USD acc,CSYU,33.0,equity,USD,Ireland,False,Accumulating,0.18,124.0,MSCI USA Tech 125 Universal,,EUR 33 m,17.76%,+43.30%,-,-
IE0003B6RHN4,JPMorgan Japan Research Enhanced Index Equity (ESG) UCITS ETF CHF Hedged (acc),JJEC,3.0,equity,CHF,Ireland,True,Accumulating,0.25,123.0,JP Morgan Japan Research Enhanced Index Equity (ESG) (CHF Hedged),,EUR 2 m,20.42%,+51.89%,+111.65%,-
IE0003IT72N9,AXA IM ACT Biodiversity Equity UCITS ETF EUR Hedged Acc,ABIE,117.0,equity,EUR,Ireland,True,Accumulating,0.53,97.0,AXA IM ACT Biodiversity Equity (EUR Hedged),,EUR 5 m,12.75%,+25.27%,+35.80%,-
IE0003JSNHV9,JPMorgan Global Research Enhanced Index Equity SRI Paris Aligned UCITS ETF EUR (acc),JEGS,258.0,equity,EUR,Ireland,False,Accumulating,0.25,423.0,JP Morgan Global Research Enhanced Index Equity SRI Paris Aligned,,EUR 302 m,11.17%,+28.18%,-,-
IE0003NQ0IY5,Xtrackers MSCI World Quality ESG UCITS ETF 1C,XWEQ,129.0,equity,USD,Ireland,False,Accumulating,0.25,150.0,MSCI World Quality Low Carbon SRI Screened Select,,EUR 156 m,11.98%,+31.17%,-,-
IE0003RA2ZR3,Invesco FTSE All Share Screened & Tilted UCITS ETF Acc,FASA,12.0,equity,GBP,Ireland,False,Accumulating,0.12,79.0,FTSE All-Share ex Investment Trusts ESG Climate Select,,EUR 12 m,11.22%,+23.21%,+38.90%,-
IE0003UN5CT1,JPMorgan Europe Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF EUR (acc),JESE,8.0,equity,EUR,Ireland,False,Accumulating,0.25,190.0,JP Morgan Europe Research Enhanced Index Equity SRI Paris Aligned Active,,EUR 11 m,12.47%,+25.74%,-,-
IE0003VC1PW8,UBS MSCI AC Asia ex Japan Selection UCITS ETF USD acc,AAXJSI,9.0,equity,USD,Ireland,False,Accumulating,0.3,403.0,MSCI AC Asia ex Japan Selection Low Carbon Select 5% Issuer Capped,,EUR 9 m,17.41%,+38.21%,-,-
IE0003WEWAX4,Franklin Future Of Health And Wellness UCITS ETF ,FOHW,2.0,equity,USD,Ireland,False,Accumulating,0.3,95.0,Solactive Sustainable Health and Wellness,,EUR 2 m,13.52%,+11.27%,-,-
IE0003XJA0J9,Amundi Prime All Country World UCITS ETF Acc,WEBN,1013.0,equity,USD,Ireland,False,Accumulating,0.07,2438.0,Solactive GBS Global Markets Large & Mid Cap,,"EUR 1,362 m",10.62%,+32.92%,-,-
IE0004993469,UBS MSCI USA ex Mega Cap UCITS ETF USD acc,UXMC,2.0,equity,USD,Ireland,False,Accumulating,0.12,526.0,MSCI USA Ex Mega Cap Specified,,EUR 2 m,-,-,-,-
IE0004CIQ1O4,Amundi MSCI World ESG Selection UCITS ETF EUR Hedged Acc,MWOS,123.0,equity,EUR,Ireland,True,Accumulating,0.2,674.0,MSCI World ESG Selection P-Series 5% Issuer Capped (EUR Hedged),,EUR 80 m,12.32%,+31.29%,-,-
IE0004HBJKG0,BNP Paribas Easy MSCI ACWI SRI S-Series PAB 5% Capped UCITS ETF EUR Acc,ESAB,15.0,equity,EUR,Ireland,False,Accumulating,0.2,1674.0,MSCI ACWI SRI S-Series PAB 5% Capped,,EUR 15 m,10.67%,+22.45%,-,-
IE0004I037N4,Franklin FTSE Emerging Markets UCITS ETF USD Capitalisation,EMGM,11.0,equity,USD,Ireland,False,Accumulating,0.11,1485.0,FTSE Emerging,,EUR 11 m,13.58%,+33.78%,-,-
IE0004J37T45,BNP Paribas Easy S&P 500 Scored and Screened UCITS ETF EUR Acc,IN0B,524.0,equity,EUR,Ireland,False,Accumulating,0.13,314.0,S&P 500 Scored & Screened,,EUR 388 m,12.95%,+32.50%,-,-
IE0004MFRED4,Xtrackers S&P 500 Equal Weight Scored & Screened UCITS ETF 1C,XZEW,1273.0,equity,USD,Ireland,False,Accumulating,0.17,279.0,S&P 500 Equal Weight Scored & Screened,,"EUR 1,366 m",13.30%,+25.17%,+35.97%,-
IE0004TFW0R5,Amundi MSCI USA ESG Leaders Extra UCITS ETF Acc EUR Hedged,MWOU,33.0,equity,EUR,Ireland,True,Accumulating,0.17,307.0,MSCI USA Select ESG Rating and Trend Leaders (EUR Hedged),,EUR 25 m,14.42%,+32.63%,-,-
IE0004U3TX15,L&G Metaverse UCITS ETF USD Acc,MTVR,8.0,equity,USD,Ireland,False,Accumulating,0.39,62.0,iStoxx Access Metaverse,,EUR 9 m,20.27%,+96.43%,+168.96%,-
IE0004YRJHW4,UBS MSCI Canada Universal UCITS ETF CAD acc,BCFD,115.0,equity,CAD,Ireland,False,Accumulating,0.33,69.0,MSCI Canada Universal Low Carbon Select 5% Issuer Capped,,EUR 115 m,12.15%,+38.42%,-,-
IE00050J4789,BNP Paribas Easy MSCI USA Small Cap Min TE UCITS ETF EUR Acc,ESAG,46.0,equity,EUR,Ireland,False,Accumulating,0.25,1442.0,MSCI USA Small Cap Select Filtered Min TE,,EUR 67 m,-,-,-,-
IE00053WDH64,Invesco Hydrogen Economy UCITS ETF Acc,HYDE,4.0,equity,USD,Ireland,False,Accumulating,0.6,63.0,WilderHill Hydrogen Economy,,EUR 7 m,20.25%,+104.26%,+20.30%,-
IE00058B19U6,Amundi S&P 500 Climate Paris Aligned UCITS ETF Acc EUR Hedged,PABH,429.0,equity,EUR,Ireland,True,Accumulating,0.25,270.0,S&P 500 Net Zero 2050 Paris-Aligned ESG+ (EUR Hedged),,EUR 300 m,13.06%,+21.34%,-,-
IE00058MW3M8,Amundi S&P 500 Screened UCITS ETF Acc EUR Hedged,S500H,1246.0,equity,EUR,Ireland,True,Accumulating,0.28,307.0,S&P 500 Scored & Screened+ (EUR Hedged),S500H.PA,"EUR 1,077 m",13.03%,+29.54%,-,-
IE00059GZ051,SPDR MSCI Resilient Future UCITS ETF USD Unhedged (Acc),SUST,4.0,equity,USD,Ireland,False,Accumulating,0.3,203.0,MSCI ACWI IMI Resilient Future Select 35/20 Capped,,EUR 4 m,-,-,-,-
IE0005CH3U28,JPMorgan Active US Growth UCITS ETF USD (acc),JPGR,360.0,equity,USD,Ireland,False,Accumulating,0.5,102.0,JPMorgan Active US Growth,,EUR 353 m,16.19%,+27.78%,-,-
IE0005E47AH7,Xtrackers MSCI Global SDG 9 Industry Innovation & Infrastructure UCITS ETF 1C,SDG9,4.0,equity,USD,Ireland,False,Accumulating,0.35,89.0,"MSCI ACWI IMI SDG 9 Industry, Innovation and Infrastructure Select",,EUR 10 m,17.34%,+63.87%,+2.65%,-
IE0005E8B9S4,Amundi Russell 1000 Growth UCITS ETF Acc,MWOW,570.0,equity,USD,Ireland,False,Accumulating,0.19,363.0,Russell 1000® Growth,,EUR 512 m,16.97%,+34.20%,+82.53%,+88.57%
IE0005MWBFR7,JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),JGIE,90.0,equity,EUR,Ireland,False,Accumulating,0.25,667.0,JP Morgan Global Research Enhanced Index Equity (ESG),,EUR 73 m,11.08%,+30.05%,-,-
IE000629MKR4,BNP Paribas Easy ESG Enhanced World UCITS ETF USD Acc,LM9B,9.0,equity,USD,Ireland,False,Accumulating,0.2,686.0,BNP Paribas Easy ESG Enhanced World,,EUR 13 m,11.69%,+26.74%,-,-
IE00063GNWK1,UBS MSCI USA Selection UCITS ETF USD acc,CSY2,2143.0,equity,USD,Ireland,False,Accumulating,0.1,264.0,MSCI USA Selection,CSY2.DE,"EUR 2,143 m",13.49%,+32.43%,-,-
IE00069JGT58,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned UCITS ETF USD (acc),JSUE,463.0,equity,USD,Ireland,False,Accumulating,0.2,178.0,JP Morgan US Research Enhanced Index Equity SRI Paris Aligned,,EUR 463 m,13.67%,+26.99%,-,-
IE0006D3PGW3,Franklin FTSE Emerging ex China UCITS ETF USD Capitalisation,EXCN,3.0,equity,USD,Ireland,False,Accumulating,0.11,940.0,FTSE Emerging ex China,,EUR 6 m,13.88%,+42.02%,-,-
IE0006FAD976,Franklin S&P 500 Screened UCITS ETF Acc,FSPU,3.0,equity,USD,Ireland,False,Accumulating,0.09,411.0,S&P 500 Guarded,,EUR 3 m,12.97%,+31.68%,-,-
IE0006FFX5U1,Xtrackers MSCI Innovation UCITS ETF 1C,XNNV,7.0,equity,USD,Ireland,False,Accumulating,0.3,183.0,MSCI ACWI IMI Innovation Select Screened 200,,EUR 5 m,14.99%,+20.64%,+45.60%,-
IE0006FM6MI8,Amundi S&P Global Health Care ESG UCITS ETF DR EUR (A),WELS,254.0,equity,EUR,Ireland,False,Accumulating,0.18,86.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Health Care,,EUR 354 m,14.08%,+5.37%,+5.06%,-
IE0006HMLPV6,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned UCITS ETF EUR Hedged (acc),JSHE,128.0,equity,EUR,Ireland,True,Accumulating,0.2,178.0,JP Morgan US Research Enhanced Index Equity SRI Paris Aligned (EUR Hedged),,EUR 153 m,13.37%,+29.17%,-,-
IE0006IP4XZ8,Amundi MSCI USA ESG Broad Transition UCITS ETF Acc,WEB2,3037.0,equity,EUR,Ireland,False,Accumulating,0.07,491.0,MSCI USA ESG Broad CTB Select,,"EUR 2,599 m",13.85%,+24.11%,-,-
IE0006O3TTP9,BNP Paribas Easy ECPI Global ESG Infrastructure UCITS ETF USD Capitalisation,BJLB,23.0,equity,USD,Ireland,False,Accumulating,0.31,100.0,ECPI Global ESG Infrastructure Equity,,EUR 25 m,9.29%,+31.01%,-,-
IE0006PTRUI8,iShares MSCI EMU Climate Transition Aware UCITS ETF EUR (Acc),MCTA,3.0,equity,EUR,Ireland,False,Accumulating,0.12,155.0,MSCI EMU Transition Aware Select,,EUR 4 m,13.99%,+28.83%,-,-
IE0006RFB3X2,HSBC MSCI Japan UCITS ETF USD (Acc),HMJA,12.0,equity,USD,Ireland,False,Accumulating,0.12,182.0,MSCI Japan,,EUR 14 m,19.35%,+34.51%,+59.14%,-
IE0006SEWKA2,JPMorgan Global Emerging Markets Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),JEEM,7.0,equity,EUR,Ireland,False,Accumulating,0.3,371.0,JP Morgan Global Emerging Markets Research Enhanced Index Equity (ESG),,EUR 12 m,16.68%,+52.57%,-,-
IE0006VDD4K1,Invesco FTSE All-World UCITS ETF EUR PfHdg Acc,FWEA,34.0,equity,EUR,Ireland,True,Accumulating,0.2,519.0,FTSE All-World (EUR Hedged),,EUR 42 m,10.79%,+34.24%,-,-
IE0006WOV4I9,Franklin S&P World Screened UCITS ETF Acc,FSPW,6.0,equity,USD,Ireland,False,Accumulating,0.14,807.0,S&P World Guarded,,EUR 6 m,10.79%,+31.22%,-,-
IE0006WW1TQ4,Xtrackers MSCI World ex USA UCITS ETF 1C,EXUS,4304.0,equity,USD,Ireland,False,Accumulating,0.15,765.0,MSCI World ex USA,,"EUR 5,051 m",10.57%,+30.24%,-,-
IE000716YHJ7,Invesco FTSE All-World UCITS ETF Acc,FWIA,2243.0,equity,USD,Ireland,False,Accumulating,0.15,519.0,FTSE All-World,,"EUR 2,697 m",10.59%,+32.11%,-,-
IE00074JLU02,Xtrackers Japan Net Zero Pathway Paris Aligned UCITS ETF 1C,XNJP,115.0,equity,USD,Ireland,False,Accumulating,0.15,231.0,Solactive ISS ESG Japan Net Zero Pathway,,EUR 115 m,15.98%,+14.95%,+31.88%,-
IE00077IIPQ8,WisdomTree Global Efficient Core UCITS ETF USD Unhedged Acc,NTSG,42.0,equity,USD,Ireland,False,Accumulating,0.25,329.0,WisdomTree Global Efficient Core,,EUR 51 m,10.72%,+26.17%,-,-
IE0007FM00T9,iShares U.S. Equity High Income UCITS ETF USD (Acc),INCI,2.0,equity,USD,Ireland,False,Accumulating,0.35,218.0,iShares U.S. Equity High Income,,EUR 4 m,11.91%,+22.15%,-,-
IE0007HKA9K1,L&G Global Brands UCITS ETF USD Acc,TOPB,46.0,equity,USD,Ireland,False,Accumulating,0.39,79.0,Solactive BrandFinance Global Brands,,EUR 44 m,12.26%,+29.96%,-,-
IE0007I99HX7,VanEck Morningstar US Wide Moat UCITS ETF A,WMOT,42.0,equity,USD,Ireland,False,Accumulating,0.46,53.0,Morningstar Wide Moat Focus,,EUR 34 m,15.50%,+22.79%,-,-
IE0007M3MLF3,WisdomTree Global Quality Dividend Growth UCITS ETF EUR Hedged Acc,WGRU,9.0,equity,EUR,Ireland,True,Accumulating,0.43,474.0,WisdomTree Global Developed Quality Dividend Growth (EUR Hedged),,EUR 9 m,10.78%,+22.35%,+37.12%,-
IE0007P4PBU1,HSBC MSCI China UCITS ETF USD (Acc),H4Z6,127.0,equity,USD,Ireland,False,Accumulating,0.28,560.0,MSCI China,,EUR 108 m,18.51%,+17.48%,+21.16%,-
IE0007QB4QS2,BNP Paribas Easy ESG Enhanced World UCITS ETF EUR Capitalisation,LM9C,403.0,equity,EUR,Ireland,False,Accumulating,0.2,686.0,BNP Paribas Easy ESG Enhanced World,,EUR 472 m,11.62%,+30.62%,-,-
IE0007UJ6IE0,Invesco Dow Jones US Insurance UCITS ETF Acc,INSU,106.0,equity,USD,Ireland,False,Accumulating,0.35,55.0,Dow Jones U.S. Select Insurance,,EUR 110 m,16.12%,+1.92%,-,-
IE0007ULOZS8,Xtrackers S&P 500 Scored & Screened UCITS ETF 1C,XZSP,94.0,equity,USD,Ireland,False,Accumulating,0.08,314.0,S&P 500 Scored & Screened,,EUR 98 m,12.93%,+32.60%,+64.90%,-
IE0007WJ6B10,Xtrackers MSCI Global Clean Water & Sanitation UCITS ETF 1C,XDG6,7.0,equity,USD,Ireland,False,Accumulating,0.35,75.0,MSCI ACWI IMI SDG 6 Clean Water and Sanitation Select,,EUR 7 m,10.22%,-1.59%,+2.13%,-
IE0007WMHDE3,HANetf Making Europe Great Again UCITS ETF Acc,ASWA,5.0,equity,EUR,Ireland,False,Accumulating,0.6,58.0,VettaFi Making Europe Great Again,,EUR 12 m,16.10%,+51.28%,-,-
IE00085PWS28,Amundi MSCI World Ex USA UCITS ETF Acc,WEXE,504.0,equity,USD,Ireland,False,Accumulating,0.15,775.0,MSCI World ex USA,,EUR 565 m,10.61%,+30.31%,-,-
